번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
"1277","246250","에스엘에스바이오","KONEX","2021","12","-",,,"500",,,,"6865603",
"1278","041510","에스엠","KOSDAQ","2021","12","오락·문화","0.04",,"500","200","0.3","3.513","23745901","4680243200"
"1279","010580","에스엠벡셀","KOSPI","2021","12","운수장비","1.02",,"500",,,,"65497372",
"1280","299670","에스엠비나","KONEX","2021","12","-",,,"100",,,,"5450000",
"1281","007820","에스엠코어","KOSDAQ","2021","12","기계·장비","0.53",,"500","50","0.7","-173.304","20033946","1001697050"
"1282","109610","에스와이","KOSDAQ","2021","12","금속","0.87",,"500",,,,"47251809",
"1283","012750","에스원","KOSPI","2021","12","서비스업","0.43",,"500","2500","3.3","65.528","37999178","84525597500"
"1284","306040","에스제이그룹","KOSDAQ","2021","12","섬유·의류","0.7",,"500","450","2.1","19.033","9865828","4407180300"
"1285","123700","에스제이엠","KOSPI","2021","12","운수장비","1.02",,"500","150","3.12","31.525","15604898","2340734700"
"1286","025530","에스제이엠홀딩스","KOSPI","2021","12","유통업","1.59",,"500","175","4.7","26.877","14934008","2371598425"
"1287","217910","에스제이켐","KONEX","2021","12","-",,,"100",,,,"12990522",
"1288","326030","에스케이바이오팜","KOSPI","2021","12","서비스업","0.43",,"500",,,,"78313250",
"1289","224020","에스케이씨에스","KONEX","2021","12","-",,,"500",,,,"3449586",
"1290","408920","에스케이증권7호스팩","KOSDAQ","2021","12","-",,,,,,,,
"1291","096630","에스코넥","KOSDAQ","2021","12","IT부품","0.36",,"200",,,,"66167999",
"1292","069510","에스텍","KOSDAQ","2021","12","일반전기전자","0.23",,"500",,,,"10910000",
